Ticker,Name,ISIN,Exchange,Currency,Region
ABN,ABN AMRO BANK NV,,EURONEXT AMSTERDAM,JPY,NL
ABN,ABN,NL0011540547,,EUR,NL
AD,KONINKLIJKE AHOLD DELHAIZE,,EURONEXT AMSTERDAM,JPY,NL
AD,AD,NL0011794037,,EUR,NL
ADYEN,ADYEN,,EURONEXT AMSTERDAM,JPY,NL
ADYEN,ADYEN,NL0012969182,,EUR,NL
AER,AERCAP HOLDINGS,,NEW YORK STOCK EXCHANGE INC.,JPY,NL
AER,AER,NL0000687663,,USD,NL
AGN,AEGON,,EURONEXT AMSTERDAM,JPY,NL
AIR,AIR,NL0000235190,,EUR,NL
AKZA,AKZO NOBEL,,EURONEXT AMSTERDAM,JPY,NL
AKZA,AKZA,NL0013267909,,EUR,NL
ARGX,ARGX,NL0010832176,,EUR,NL
ASM,ASM INTERNATIONAL NV,,EURONEXT AMSTERDAM,JPY,NL
ASM,ASM,NL0000334118,,EUR,NL
ASML,ASML HOLDING,,EURONEXT AMSTERDAM,JPY,NL
ASML,ASML,NL0010273215,,EUR,NL
ASRNL,ASR NEDERLAND,,EURONEXT AMSTERDAM,JPY,NL
ASRNL,ASRNL,NL0011872643,,EUR,NL
BESI,BE SEMICONDUCTOR INDUSTRIES NV,,EURONEXT AMSTERDAM,JPY,NL
BESI,BESI,NL0012866412,,EUR,NL
CCEP,COCA COLA EUROPACIFIC PARTNERS PLC,,NASDAQ,JPY,NL
CNH,CNH,NL0010545661,,USD,NL
CPR,CPR,NL0015435975,,EUR,NL
CSG,CSG CLASS A NV,,EURONEXT AMSTERDAM,JPY,NL
CSG,CSG,NL0015073TS8,,EUR,NL
CVC,CVC CAPITAL PARTNERS PLC,,EURONEXT AMSTERDAM,JPY,NL
DSFIR,DSM FIRMENICH AG,,EURONEXT AMSTERDAM,JPY,NL
ECMPA,ECMPA,NL0015000K93,,EUR,NL
ENX,ENX,NL0006294274,,EUR,NL
EXO,EXOR NV,,EURONEXT AMSTERDAM,JPY,NL
EXO,EXO,NL0012059018,,EUR,NL
FER,FER,NL0015001FS8,,,NL
HEIA,HEINEKEN NV,,EURONEXT AMSTERDAM,JPY,NL
HEIA,HEIA,NL0000009165,,EUR,NL
HEIO,HEINEKEN HOLDING NV,,EURONEXT AMSTERDAM,JPY,NL
HEIO,HEIO,NL0000008977,,EUR,NL
IMEU,ISHARES CORE MSCI EUROPE UCITS ETF,,EURONEXT AMSTERDAM,JPY,NL
INGA,ING GROEP,,EURONEXT AMSTERDAM,JPY,NL
INGA,INGA,NL0011821202,,EUR,NL
INPST,INPOST SA,,EURONEXT AMSTERDAM,JPY,NL
JBS,JBS,NL0015002J37,,USD,NL
KPN,KONINKLIJKE KPN NV,,EURONEXT AMSTERDAM,JPY,NL
KPN,KPN,NL0000009082,,EUR,NL
LYB,LYB,NL0009434992,,USD,NL
MICC,MAGNUM ICE CREAM,,EURONEXT AMSTERDAM,JPY,NL
MICC,MICC,NL0015002MS2,,EUR,NL
NBIS,NEBIUS NV CLASS A,,NASDAQ,JPY,NL
NBIS,NBIS,NL0009805522,,,NL
NN,NN GROUP,,EURONEXT AMSTERDAM,JPY,NL
NN,NN,NL0010773842,,EUR,NL
NRP,NRP,NL0015000RT3,,ZAR,NL
NSI,NSI,NL0012365084,,EUR,NL
NXPI,NXPI,NL0009538784,,,NL
PHIA,KONINKLIJKE PHILIPS,,EURONEXT AMSTERDAM,JPY,NL
PHIA,PHIA,NL0000009538,,EUR,NL
PRX,PROSUS NV CLASS N,,EURONEXT AMSTERDAM,JPY,NL
PRX,PRX,NL0013654783,,EUR,NL
QIA,QIA,NL0015002SN0,,EUR,NL
RACE,RACE,NL0011585146,,EUR,NL
STLAM,STLAM,NL00150001Q9,,EUR,NL
STMPA,STMPA,NL0000226223,,EUR,NL
TWEKA,TKH GROUP,,EURONEXT AMSTERDAM,JPY,NL
UMG,UNIVERSAL MUSIC GROUP,,EURONEXT AMSTERDAM,JPY,NL
UMG,UMG,NL0015000IY2,,EUR,NL
WHA,WHA,NL0000289213,,EUR,NL
WKL,WOLTERS KLUWER,,EURONEXT AMSTERDAM,JPY,NL
WKL,WKL,NL0000395903,,EUR,NL
