Ticker,Name,ISIN,Exchange,Currency,Region
AKRBP,AKER BP,,OSLO BORS ASA,JPY,NO
AKRBP,AKRBP,NO0010345853,,NOK,NO
AUTO,AUTOSTORE HOLDINGS LTD,,OSLO BORS ASA,JPY,NO
DNB,DNB BANK,,OSLO BORS ASA,JPY,NO
DNB,DNB,NO0010161896,,NOK,NO
EQNR,EQUINOR,,OSLO BORS ASA,JPY,NO
EQNR,EQNR,NO0010096985,,NOK,NO
GJF,GJENSIDIGE FORSIKRING,,OSLO BORS ASA,JPY,NO
GJF,GJF,NO0010582521,,NOK,NO
KOG,KONGSBERG GRUPPEN,,OSLO BORS ASA,JPY,NO
KOG,KOG,NO0013536151,,NOK,NO
MOWI,MOWI,,OSLO BORS ASA,JPY,NO
MOWI,MOWI,NO0003054108,,NOK,NO
NHY,NORSK HYDRO,,OSLO BORS ASA,JPY,NO
NHY,NHY,NO0005052605,,NOK,NO
ORK,ORKLA,,OSLO BORS ASA,JPY,NO
ORK,ORK,NO0003733800,,NOK,NO
SALM,SALMAR,,OSLO BORS ASA,JPY,NO
SALM,SALM,NO0010310956,,NOK,NO
TEL,TELENOR,,OSLO BORS ASA,JPY,NO
TEL,TEL,NO0010063308,,NOK,NO
VAR,VAR ENERGI,,OSLO BORS ASA,JPY,NO
VAR,VAR,NO0011202772,,NOK,NO
YAR,YARA INTERNATIONAL,,OSLO BORS ASA,JPY,NO
YAR,YAR,NO0010208051,,NOK,NO
