Ticker,Name,ISIN,Exchange,Currency,Region
AC,AYALA CORP,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
AC,AC,PHY0486V1154,,PHP,PH
ACEN,ACEN CORPORATION,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
AGI,ALLIANCE GLOBAL GROUP,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
ALI,AYALA LAND,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
ALI,ALI,PHY0488F1004,,PHP,PH
AREIT,AREIT INC,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
BDO,BDO UNIBANK,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
BDO,BDO,PHY077751022,,PHP,PH
BPI,BANK OF THE PHILIPPINE ISLANDS,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
BPI,BPI,PHY0967S1694,,PHP,PH
CNPF,CENTURY PACIFIC FOOD INC,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
CNVRG,CONVERGE INFORMATION & COMMUNICATI,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
DMC,DMCI HOLDINGS INC,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
GTCAP,GT CAPITAL HOLDINGS,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
ICT,INTERNATIONAL CONTAINER TERMINAL S,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
ICT,ICT,PHY411571011,,PHP,PH
JFC,JOLLIBEE FOODS,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
JGS,JG SUMMIT HOLDINGS CLASS B,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
MBT,METROPOLITAN BANK AND TRUST CO,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
MBT,MBT,PHY6028G1361,,PHP,PH
MEG,MEGAWORLD CORP,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
MER,MANILA ELECTRIC,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
MER,MER,PHY5764J1483,,PHP,PH
MWC,MANILA WATER,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
MYNLD,MAYNILAD WATER SERVICES INC,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
PGOLD,PURE GOLD PRICE CLUB INC,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
PLUS,DIGIPLUS INTERACTIVE CORP,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
RCR,RL COMMERCIAL REIT INC,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
RLC,ROBINSONS LAND CORP,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
SCC,SEMIRARA MINING AND POWER CORP,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
SGP,SYNERGY GRID AND DEVELOPMENT PHILS,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
SM,SM INVESTMENTS,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
SM,SM,PHY806761029,,PHP,PH
SMPH,SM PRIME HOLDINGS,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
SMPH,SMPH,PHY8076N1120,,PHP,PH
TEL,PLDT INC,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
TEL,TEL,PHY7072Q1032,,PHP,PH
URC,UNIVERSAL ROBINA CORP,,PHILIPPINE STOCK EXCHANGE INC.,JPY,PH
