Ticker,Name,ISIN,Exchange,Currency,Region
ACP,ASSECO POLAND SA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
ACP,ACP,PLSOFTB00016,,PLN,PL
ALE,ALLEGRO SA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
ALR,ALIOR BANK SA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
ATT,GRUPA AZOTY SA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
BDX,BUDIMEX SA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
BDX,BDX,PLBUDMX00013,,PLN,PL
BFT,BENEFIT SYSTEMS,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
BHW,BANK HANDLOWY W WARSZAWIE SA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
CDR,CD PROJEKT,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
CDR,CDR,PLOPTTC00011,,PLN,PL
CPS,CYFROWY POLSAT SA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
DIA,DIAGNOSTYKA SA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
DNP,DINO POLSKA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
DNP,DNP,PLDINPL00011,,PLN,PL
EBP,ERSTE BANK POLSKA SA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
EBP,EBP,PLBZ00000044,,PLN,PL
ENA,ENEA SA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
ETD_PLN,ETD PLN BALANCE WITH R93531,,,JPY,PL
JSW,JASTRZEBSKA SPOLKA WEGLOWA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
KGH,KGHM POLSKA MIEDZ SA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
KGH,KGH,PLKGHM000017,,PLN,PL
KRU,KRUK SA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
KTY,GRUPA KETY,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
LPP,LPP SA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
LPP,LPP,PLLPP0000011,,PLN,PL
MBK,MBANK SA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
MBK,MBK,PLBRE0000012,,PLN,PL
MDV,MODIVO SA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
MIL,BANK MILLENNIUM SA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
MIL,MIL,PLBIG0000016,,PLN,PL
OPL,ORANGE POLSKA SA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
PCO,PEPCO GROUP NV,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
PEO,BANK PEKAO SA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
PEO,PEO,PLPEKAO00016,,PLN,PL
PGE,PGE POLSKA GRUPA ENERGETYCZNA SA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
PGE,PGE,PLPGER000010,,PLN,PL
PKN,ORLEN,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
PKN,PKN,PLPKN0000018,,PLN,PL
PKO,POWSZECHNA KASA OSZCZEDNOSCI BANK,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
PKO,PKO,PLPKO0000016,,PLN,PL
PZU,PZU SA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
PZU,PZU,PLPZU0000011,,PLN,PL
TPE,TAURON POLSKA ENERGIA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
XTB,XTB,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
ZAB,ZABKA GROUP SOCIETE ANONYME SA,,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JPY,PL
