Ticker,Name,ISIN,Exchange,Currency,Region
ACWA,ACWA,SA15CGS10H12,,SAR,SA
ADES,ADES,SA55SG6H5716,,SAR,SA
ALARKAN,ALARKAN,SA11U0S23612,,SAR,SA
ALBI,ALBI,SA000A0D9HK3,,SAR,SA
ALINMA,ALINMA,SA122050HV19,,SAR,SA
ALMARAI,ALMARAI,SA000A0ETHT1,,SAR,SA
ARAMCO,ARAMCO,SA14TG012N13,,SAR,SA
ARNB,ARNB,SA0007879105,,SAR,SA
BJAZ,BJAZ,SA0007879055,,SAR,SA
BSF,BSF,SA0007879782,,SAR,SA
BUPA,BUPA,SA1210540914,,SAR,SA
EEC,EEC,SA000A0DM9P2,,SAR,SA
ELM,ELM,SA15GG53GHH3,,SAR,SA
JARIR,JARIR,SA000A0BLA62,,SAR,SA
JOMAR,JOMAR,SA000A0MR864,,SAR,SA
MAADEN,MAADEN,SA123GA0ITH7,,SAR,SA
MCDCO,MCDCO,SA0007879659,,SAR,SA
MOUWASAT,MOUWASAT,SA12C051UH11,,SAR,SA
RIBL,RIBL,SA0007879048,,SAR,SA
RJHI,RJHI,SA0007879113,,SAR,SA
SABB,SABB,SA0007879089,,SAR,SA
SABIC,SABIC,SA0007879121,,SAR,SA
SAFCO,SAFCO,SA0007879139,,SAR,SA
SAL,SAL,SA15T1L22JH8,,SAR,SA
SECO,SECO,SA0007879550,,SAR,SA
SIBC,SIBC,SA0007879063,,SAR,SA
SNB,SNB,SA13L050IE10,,SAR,SA
SOLUTION,SOLUTION,SA15CIBJGH12,,SAR,SA
STC,STC,SA0007879543,,SAR,SA
SULAIMAN,SULAIMAN,SA1510P1UMH1,,SAR,SA
TADAWULG,TADAWULG,SA15DHKGHBH4,,SAR,SA
TAWUNIYA,TAWUNIYA,SA000A0DPSH3,,SAR,SA
YANSAB,YANSAB,SA000A0HNF36,,SAR,SA
