Ticker,Name,ISIN,Exchange,Currency,Region
ADDT B,ADDTECH CLASS B,,NASDAQ OMX NORDIC,JPY,SE
ADDTB,ADDTB,SE0014781795,,SEK,SE
ALFA,ALFA LAVAL,,NASDAQ OMX NORDIC,JPY,SE
ALFA,ALFA,SE0000695876,,SEK,SE
ANOD B,ADDNODE GROUP CLASS B,,NASDAQ OMX NORDIC,JPY,SE
ASSA B,ASSA ABLOY B,,NASDAQ OMX NORDIC,JPY,SE
ASSAB,ASSAB,SE0007100581,,SEK,SE
ATCO A,ATLAS COPCO CLASS A,,NASDAQ OMX NORDIC,JPY,SE
ATCO B,ATLAS COPCO CLASS B,,NASDAQ OMX NORDIC,JPY,SE
ATCOA,ATCOA,SE0017486889,,SEK,SE
ATCOB,ATCOB,SE0017486897,,SEK,SE
BALD B,FASTIGHETS BALDER CLASS B,,NASDAQ OMX NORDIC,JPY,SE
BALDB,BALDB,SE0017832488,,SEK,SE
BEIJ B,BEIJER REF CLASS B,,NASDAQ OMX NORDIC,JPY,SE
BEIJB,BEIJB,SE0015949748,,SEK,SE
BOL,BOLIDEN,,NASDAQ OMX NORDIC,JPY,SE
BOL,BOL,SE0020050417,,SEK,SE
EPI A,EPIROC CLASS A,,NASDAQ OMX NORDIC,JPY,SE
EPI B,EPIROC CLASS B,,NASDAQ OMX NORDIC,JPY,SE
EPIA,EPIA,SE0015658109,,SEK,SE
EPIB,EPIB,SE0015658117,,SEK,SE
EQT,EQT,,NASDAQ OMX NORDIC,JPY,SE
EQT,EQT,SE0012853455,,SEK,SE
ERIC B,ERICSSON B,,NASDAQ OMX NORDIC,JPY,SE
ERICB,ERICB,SE0000108656,,SEK,SE
ESSITY B,ESSITY CLASS B,,NASDAQ OMX NORDIC,JPY,SE
ESSITYB,ESSITYB,SE0009922164,,SEK,SE
EVO,EVOLUTION,,NASDAQ OMX NORDIC,JPY,SE
EVO,EVO,SE0012673267,,SEK,SE
HEXA B,HEXAGON CLASS B,,NASDAQ OMX NORDIC,JPY,SE
HEXAB,HEXAB,SE0015961909,,SEK,SE
HM B,HENNES & MAURITZ,,NASDAQ OMX NORDIC,JPY,SE
HMB,HMB,SE0000106270,,SEK,SE
INDT,INDUTRADE,,NASDAQ OMX NORDIC,JPY,SE
INDT,INDT,SE0001515552,,SEK,SE
INDU A,INDUSTRIVARDEN A,,NASDAQ OMX NORDIC,JPY,SE
INDU C,INDUSTRIVARDEN SERIES,,NASDAQ OMX NORDIC,JPY,SE
INDUA,INDUA,SE0000190126,,SEK,SE
INDUC,INDUC,SE0000107203,,SEK,SE
INVE B,INVESTOR CLASS B,,NASDAQ OMX NORDIC,JPY,SE
INVEB,INVEB,SE0015811963,,SEK,SE
LATO B,LATOUR INVESTMENT CLASS B,,NASDAQ OMX NORDIC,JPY,SE
LATOB,LATOB,SE0010100958,,SEK,SE
LIFCO B,LIFCO CLASS B,,NASDAQ OMX NORDIC,JPY,SE
LIFCOB,LIFCOB,SE0015949201,,SEK,SE
LUND B,LUNDBERGFORETAGEN CLASS B,,NASDAQ OMX NORDIC,JPY,SE
LUNDB,LUNDB,SE0000108847,,SEK,SE
NIBE B,NIBE INDUSTRIER CLASS B,,NASDAQ OMX NORDIC,JPY,SE
NIBEB,NIBEB,SE0015988019,,SEK,SE
OCTV SDB,OCTAVE INTELLIGENCE SDR PLC,,NASDAQ OMX NORDIC,JPY,SE
OCTVSDB,OCTVSDB,SE0028329433,,SEK,SE
SAAB B,SAAB CLASS B,,NASDAQ OMX NORDIC,JPY,SE
SAABB,SAABB,SE0021921269,,SEK,SE
SAGA B,SAGAX CLASS B,,NASDAQ OMX NORDIC,JPY,SE
SAGAB,SAGAB,SE0005127818,,SEK,SE
SAND,SANDVIK,,NASDAQ OMX NORDIC,JPY,SE
SAND,SAND,SE0000667891,,SEK,SE
SCA B,SVENSKA CELLULOSA B,,NASDAQ OMX NORDIC,JPY,SE
SCAB,SCAB,SE0000112724,,SEK,SE
SEB A,SKANDINAVISKA ENSKILDA BANKEN,,NASDAQ OMX NORDIC,JPY,SE
SEBA,SEBA,SE0000148884,,SEK,SE
SECU B,SECURITAS B,,NASDAQ OMX NORDIC,JPY,SE
SECUB,SECUB,SE0000163594,,SEK,SE
SHB A,SVENSKA HANDELSBANKEN-A SHS,,NASDAQ OMX NORDIC,JPY,SE
SHBA,SHBA,SE0007100599,,SEK,SE
SKA B,SKANSKA B,,NASDAQ OMX NORDIC,JPY,SE
SKAB,SKAB,SE0000113250,,SEK,SE
SKF B,SKF B,,NASDAQ OMX NORDIC,JPY,SE
SKFB,SKFB,SE0000108227,,SEK,SE
SOBI,SWEDISH ORPHAN BIOVITRUM,,NASDAQ OMX NORDIC,JPY,SE
SOBI,SOBI,SE0000872095,,SEK,SE
SPOT,SPOTIFY TECHNOLOGY,,NEW YORK STOCK EXCHANGE INC.,JPY,SE
SWED A,SWEDBANK,,NASDAQ OMX NORDIC,JPY,SE
SWEDA,SWEDA,SE0000242455,,SEK,SE
TEL2 B,TELE2 B,,NASDAQ OMX NORDIC,JPY,SE
TEL2B,TEL2B,SE0005190238,,SEK,SE
TELIA,TELIA COMPANY,,NASDAQ OMX NORDIC,JPY,SE
TELIA,TELIA,SE0000667925,,SEK,SE
TIGO,MILLICOM INTERNATIONAL CELLULAR,,NASDAQ,JPY,SE
TREL B,TRELLEBORG B,,NASDAQ OMX NORDIC,JPY,SE
TRELB,TRELB,SE0000114837,,SEK,SE
VOLV B,VOLVO CLASS B,,NASDAQ OMX NORDIC,JPY,SE
VOLVB,VOLVB,SE0000115446,,SEK,SE
VSURE,VERISURE PLC,,NASDAQ OMX NORDIC,JPY,SE
