Ticker,Name,ISIN,Exchange,Currency,Region
ADVANC-R,ADVANC-R,TH0268010R11,,THB,TH
ADVANC/F,ADVANC/F,TH0268010Z11,,,TH
AOT-R,AOT-R,TH0765010R16,,THB,TH
AOT/F,AOT/F,TH0765010Z16,,,TH
AWC-R,AWC-R,TH9436010R15,,,TH
BANPUU/F,BANPUU/F,TH0148A10Z14,,,TH
BBL-R,BBL-R,TH0001010R16,,,TH
BCP-R,BCP-R,TH0420010R18,,,TH
BDMS-R,BDMS-R,TH0264010R10,,THB,TH
BDMS/F,BDMS/F,TH0264A10Z12,,,TH
BEM/F,BEM/F,TH6999010015,,,TH
BH-R,BH-R,TH0168010R13,,THB,TH
BH/F,BH/F,TH0168A10Z19,,,TH
BJC/F,BJC/F,TH0002010Z14,,,TH
CCET/F,CCET/F,TH0639010Z13,,,TH
COM7/F,COM7/F,TH6678010013,,,TH
CPALL-R,CPALL-R,TH0737010R15,,THB,TH
CPALL/F,CPALL/F,TH0737010Y16,,,TH
CPF-R,CPF-R,TH0101010R14,,THB,TH
CPF/F,CPF/F,TH0101A10Z19,,,TH
CPN-R,CPN-R,TH0481010R10,,,TH
CRC/F,CRC/F,TH9597010015,,,TH
DELTA-R,DELTA-R,TH0528010R18,,,TH
EGCO-R,EGCO-R,TH0465010R13,,,TH
GPSC/F,GPSC/F,TH6488010013,,,TH
GULF-R,GULF-R,THC903010R14,,,TH
HMPRO/F,HMPRO/F,TH0661010015,,,TH
IVL/F,IVL/F,TH1027010012,,,TH
KBANK-R,KBANK-R,TH0016010R14,,,TH
KKP/F,KKP/F,TH0121010019,,,TH
KTB-R,KTB-R,TH0150010R11,,,TH
KTC/F,KTC/F,TH0689010Z18,,,TH
LH-R,LH-R,TH0143010R16,,,TH
MINT-R,MINT-R,TH0128010R17,,THB,TH
MINT/F,MINT/F,TH0128B10Z17,,,TH
MRDIYT-R,MRDIYT-R,THD365010R15,,,TH
MTC/F,MTC/F,TH6068010Y10,,,TH
OR-R,OR-R,THA099010R13,,,TH
OSP/F,OSP/F,TH8752010018,,,TH
PTT-R,PTT-R,TH0646010R18,,THB,TH
PTT/F,PTT/F,TH0646010Z18,,,TH
PTTEP-R,PTTEP-R,TH0355010R16,,THB,TH
PTTEP/F,PTTEP/F,TH0355A10Z12,,,TH
PTTGC/F,PTTGC/F,TH1074010014,,,TH
RATCH/F,RATCH/F,TH0637010Y18,,,TH
SCB-R,SCB-R,THA790010R17,,THB,TH
SCB/F,SCB/F,THA790010013,,,TH
SCC-R,SCC-R,TH0003010R12,,,TH
SCGP-R,SCGP-R,TH0098010R12,,,TH
TCAP/F,TCAP/F,TH0083B10Z10,,,TH
TFG/F,TFG/F,TH6717010016,,,TH
THAI/F,THAI/F,TH0245010010,,,TH
TIDLOR/F,TIDLOR/F,THC997010010,,,TH
TISCO-R,TISCO-R,TH0999010R11,,,TH
TLI/F,TLI/F,THA848010015,,,TH
TOP/F,TOP/F,TH0796010013,,,TH
TRUE-R,TRUE-R,THB231010R11,,THB,TH
TRUE/F,TRUE/F,THB231010018,,,TH
TTB-R,TTB-R,TH0068010R15,,THB,TH
TTB/F,TTB/F,TH0068010Z15,,,TH
TU/F,TU/F,TH0450010Y16,,,TH
WHA/F,WHA/F,TH3871010Z19,,,TH
