Ticker,Name,ISIN,Exchange,Currency,Region
178A,Global X Innovative Bluechip Top 10+ ETF,1313377.59862,2850000,20260824,UNKNOWN
188A,Global X India Top 10+ ETF,-1378701.0,2600000,20260824,UNKNOWN
2018,Global X US REIT Top 20 ETF,-550434.0,275000,20260824,UNKNOWN
2019,Global X U.S. Preferred Security ETF (Bi-monthly dividend type),88250.0,2030000,20260824,UNKNOWN
"2026年5月29日現在　（AS OF MAY 29, 2026）",ISINコード：,,,,UNKNOWN
"2026年6月30日現在　（AS OF JUNE 30, 2026）",ISINコード：,,,,UNKNOWN
"2026年7月31日現在　（AS OF JULY 31, 2026）",ISINコード：,,,,UNKNOWN
2095,Global X S&P 500 Dividend Aristocrats ETF (JPY Hedged),2224054.31097,200000,20260824,UNKNOWN
2096,Global X Office J-REIT ETF,3997118.0,631271,20260824,UNKNOWN
2097,Global X Residential J-REIT ETF,8247885.0,1961520,20260824,UNKNOWN
2098,Global X Hotel & Retail J-REIT ETF,4781945.0,921780,20260824,UNKNOWN
2236,Global X S&P 500 Dividend Aristocrats ETF,3629251.27687,4700000,20260824,UNKNOWN
223A,Global X Artificial Intelligence & Technology ETF,76899.0,1160000,20260821,UNKNOWN
2243,Global X Semiconductor ETF,-3370700933.0,9480000,20260626,UNKNOWN
2244,Global X US Tech Top 20 ETF,-1475635.20518,38220000,20260821,UNKNOWN
224A,Global X Uranium ETF,23682.0,1150000,20260824,UNKNOWN
2252,Global X Morningstar US Small Mid Moat ETF,-10760.7901808,200000,20260824,UNKNOWN
2253,Global X SuperDividend U.S. ETF,87566.0,1840000,20260824,UNKNOWN
2254,Global X China Electric Vehicle and Battery ETF,890351.0,650000,20260824,UNKNOWN
235A,Global X Japan High Dividend 30 ETF,71828422.0,16892359,20260824,UNKNOWN
2564,Global X MSCI SuperDividend Japan ETF,356373328.0,21502726,20260824,UNKNOWN
2565,Global X Logistics J-REIT ETF,230036667.0,27357026,20260824,UNKNOWN
2626,Global X Digital Innovation Japan ETF,6716274.0,325829,20260824,UNKNOWN
2627,Global X E-Commerce Japan ETF,1211189.0,208268,20260824,UNKNOWN
2636,Global X MSCI Governance-Quality Japan ETF,6771061.0,324596,20260824,UNKNOWN
2637,Global X CleanTech Japan ETF,8044747.0,451065,20260619,UNKNOWN
2638,Global X Japan Robotics & AI ETF,33909233.0,5868229,20260803,UNKNOWN
2639,Global X Japan Bio & Med Tech ETF,1026771.0,174870,20260824,UNKNOWN
2640,Global X Japan Games & Animation ETF,10187237.0,1198164,20260729,UNKNOWN
2641,Global X Japan Global Leaders ETF,280960959.0,32287968,20260810,UNKNOWN
2644,Global X Japan Semiconductor ETF,283221851.0,19816147,20260622,UNKNOWN
2645,Global X Japan Leisure & Entertainment ETF,3986511.0,139310,20260824,UNKNOWN
2646,Global X Japan Metal Business ETF,4789338.0,2079573,20260821,UNKNOWN
282A,Global X Japan Semiconductor Top 10 ETF,42719718.0,6605285,20260806,UNKNOWN
2836,Global X Japan Fintech ETF,311827.0,93260,20260824,UNKNOWN
2837,Global X Japan Mid & Small Cap Leaders ETF,195355476.0,13541925,20260810,UNKNOWN
283A,Global X US Tech Dividend Aristocrats ETF,120377.429337,425000,20260824,UNKNOWN
2847,Global X Japan New Growth Infrastructure ETF,1037377.0,260814,20260824,UNKNOWN
2848,Global X MSCI Japan Climate Change ETF,32107615.0,4791116,20260824,UNKNOWN
2849,Global X Morningstar Japan High Dividend ESG ETF,41380227.0,2454920,20260824,UNKNOWN
2854,Global X Japan Tech Top 20 ETF,16621486.0,5225717,20260803,UNKNOWN
2855,Global X Green J-REIT ETF,63495457.0,16378054,20260824,UNKNOWN
2864,Global X Logistics REIT ETF,-1040168.0,75000,20260824,UNKNOWN
2865,Global X Nasdaq 100 Covered Call ETF,5371640.0,38930000,20260824,UNKNOWN
2866,Global X U.S. Preferred Security ETF,-227419.0,7870000,20260824,UNKNOWN
2867,Global X Autonomous & EV ETF,268582.0,250000,20260824,UNKNOWN
2868,Global X S&P 500 Covered Call ETF,57008638.0,7090000,20260824,UNKNOWN
2971,ESCON JAPAN REIT Investment Corporation,,,,UNKNOWN
2972,Sankei Real Estate Inc.,,,,UNKNOWN
2979,"SOSiLA Logistics REIT, Inc.",,,,UNKNOWN
2989,"Tokaido REIT, Inc.",,,,UNKNOWN
315A,Global X Japan Bank High Dividend ETF,41299977.0,12259006,20260824,UNKNOWN
3226,Mitsui Fudosan Accommodations Fund Inc.,,,,UNKNOWN
3234,Mori Hills REIT Investment Corporation,,,,UNKNOWN
3249,Industrial & Infrastructure Fund Investment Corporation,,,,UNKNOWN
3269,Advance Residence Investment Corporation,,,,UNKNOWN
3279,Activia Properties Inc.,,,,UNKNOWN
3281,GLP J-REIT,,,,UNKNOWN
3282,"Comforia Residential REIT, Inc",,,,UNKNOWN
3283,"Nippon Prologis REIT, Inc.",,,,UNKNOWN
3287,"Hoshino Resorts REIT, Inc.",,,,UNKNOWN
328A,Global X Japan Pricing Power Leaders ETF,-463761.0,4280965,20260824,UNKNOWN
3290,"One REIT, Inc.",,,,UNKNOWN
3292,AEON REIT Investment Corporation,,,,UNKNOWN
3295,"Hulic Reit, Inc.",,,,UNKNOWN
3296,NIPPON REIT Investment Corporation,,,,UNKNOWN
3309,"Sekisui House Reit, Inc.",,,,UNKNOWN
3451,Tosei Reit Investment Corporation,,,,UNKNOWN
3455,Healthcare & Medical Investment Corporation,,,,UNKNOWN
3459,Samty Residential Investment Corporation,,,,UNKNOWN
3462,"Nomura Real Estate Master Fund, Inc.",,,,UNKNOWN
3463,Ichigo Hotel REIT Investment Corporation,,,,UNKNOWN
3466,LaSalle LOGIPORT REIT,,,,UNKNOWN
3468,Star Asia Investment Corporation,,,,UNKNOWN
3470,"Marimo Regional Revitalization REIT,Inc.",,,,UNKNOWN
3471,Mitsui Fudosan Logistics Park Inc.,,,,UNKNOWN
3472,Nippon Hotel & Residential Investment Corporation,,,,UNKNOWN
3476,MIRAI Corporation,,,,UNKNOWN
3481,Mitsubishi Estate Logistics REIT Investment Corporation,,,,UNKNOWN
3487,"CRE Logistics REIT, Inc.",,,,UNKNOWN
3488,CENTRAL REIT Investment Corporation,,,,UNKNOWN
3492,MIRARTH Real Estate Investment Corporation,,,,UNKNOWN
379A,Global X S&P 500 ETF (Dynamic Protection),29804.0,135000,20260824,UNKNOWN
380A,Global X China Tech ETF,-373351,1650000,20260729,UNKNOWN
401A,"Kasumigaseki Hotel REIT, Inc.",,,,UNKNOWN
424A,Global X Gold ETF (JPY Hedged),26687180.0,8340000,20260824,UNKNOWN
425A,Global X Gold ETF,455515.0,60120000,20260824,UNKNOWN
465A,Global X Japan Nikkei225 Shareholder Return 40 ETF,31941711.0,5854810,20260824,UNKNOWN
466A,Global X Defense Tech ETF,544117.0,6500000,20260727,UNKNOWN
512A,Global X Stablecoins & Tokenization ETF (ex-Japan),22307.0,400000,20260824,UNKNOWN
513A,Global X Japan Defense Tech ETF,49139294.0,25061727,20260821,UNKNOWN
579A,Global X Silver Miners ETF,63503.0,320000,20260824,UNKNOWN
580A,Global X Copper Miners ETF,69497.0,420000,20260824,UNKNOWN
609A,Global X Japan Wholesale Trade & Resource Business ETF,300980.0,551793,20260824,UNKNOWN
610A,Global X Space Tech Top 10 ETF (ex-Japan),110508133.0,1060000,20260821,UNKNOWN
8951,Nippon Building Fund Inc.,,,,UNKNOWN
8952,Japan Real Estate Investment Corporation,,,,UNKNOWN
