Ticker,Name,ISIN,Exchange,Currency,Region
ABG,ABSA GROUP,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
ABG,ABG,ZAE000255915,,ZAR,ZA
AFE,AECI,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
ANG,ANGLOGOLD ASHANTI PLC,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
APN,ASPEN PHARMACARE LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
ARI,AFRICAN RAINBOW MINERAL,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
AVI,AVI LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
BID,BID CORPORATION,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
BID,BID,ZAE000216537,,ZAR,ZA
BOX,BOXER RETAIL LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
BVT,BIDVEST GROUP,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
BVT,BVT,ZAE000117321,,ZAR,ZA
CLS,CLICKS GROUP,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
CLS,CLS,ZAE000134854,,ZAR,ZA
CML,CORONATION FUND MANAGERS LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
CPI,CAPITEC LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
CPI,CPI,ZAE000035861,,ZAR,ZA
DCP,DIS-CHEM PHARMACIES LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
DRD,DRDGOLD LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
DSY,DISCOVERY,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
DSY,DSY,ZAE000022331,,ZAR,ZA
DTC,DATATEC LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
EQU,EQUITES PROP FUND LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
EXX,EXXARO RESOURCES,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
FFB,FORTRESS REAL EST INV B LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
FSR,FIRSTRAND LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
FSR,FSR,ZAE000066304,,ZAR,ZA
GFI,GOLD FIELDS,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
GFI,GFI,ZAE000018123,,ZAR,ZA
GND,GRINDROD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
GRT,GROWTHPOINT PROP LTD SHS,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
HAR,HARMONY GOLD MINING COMPANY LIMITE,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
HAR,HAR,ZAE000015228,,ZAR,ZA
HYP,HYPROP INVS LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
IMP,IMPALA PLATINUM,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
IMP,IMP,ZAE000083648,,ZAR,ZA
INL,INVESTEC LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
JSE,JOHANNESBURG STOCK EXCHANGE LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
LHC,LIFE HEALTH,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
MRP,MR PRICE GROUP LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
MTH,MOTUS HOLD LTD SHS,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
MTM,MOMENTUM GROUP,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
MTN,MTN GROUP,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
MTN,MTN,ZAE000042164,,ZAR,ZA
NED,NEDBANK GROUP LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
NED,NED,ZAE000004875,,ZAR,ZA
NPH,NORTHAM PLATINUM HLDGS LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
NPH,NPH,ZAE000298253,,ZAR,ZA
NPN,NASPERS LIMITED CLASS N,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
NPN,NPN,ZAE000351946,,ZAR,ZA
NRP,NEPI ROCKCASTLE,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
NTC,NETCARE,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
NY1,NINETY ONE LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
OMN,OMNIA HOLDINGS,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
OMU,OLD MUTUAL LIMITED,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
OPA,OPTASIA LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
OUT,OUTSURANCE GROUP LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
OUT,OUT,ZAE000314084,,ZAR,ZA
PIK,PICK N PAY STORES LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
PPH,PEPKOR HOLDINGS SHS LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
PPH,PPH,ZAE000259479,,ZAR,ZA
RDF,REDEFINE PROPERTIES,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
REM,REMGRO,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
REM,REM,ZAE000026480,,ZAR,ZA
RES,RESILIENT PROP LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
RLO,REUNERT LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
RNI,REINET INVESTMENTS S.C.A.,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
SAP,SAPPI LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
SBK,STANDARD BANK GROUP,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
SBK,SBK,ZAE000109815,,ZAR,ZA
SHP,SHOPRITE HOLDINGS LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
SHP,SHP,ZAE000012084,,ZAR,ZA
SLM,SANLAM LIMITED LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
SLM,SLM,ZAE000070660,,ZAR,ZA
SNT,SANTAM LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
SOL,SASOL,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
SOL,SOL,ZAE000006896,,ZAR,ZA
SPP,SPAR GROUP LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
SSW,SIBANYE STILLWATER,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
SSW,SSW,ZAE000259701,,ZAR,ZA
TBS,TIGER BRANDS,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
TFG,THE FOSCHINI GROUP,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
TGA,THUNGELA RESOURCES,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
TKG,TELKOM SOC LTD SA,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
TRU,TRUWORTHS INTERNATIONAL,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
VAL,VALTERRA PLATINUM LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
VAL,VAL,ZAE000013181,,ZAR,ZA
VKE,VUKILE PROPERTY REIT,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
VOD,VODACOM GROUP LTD,,JOHANNESBURG STOCK EXCHANGE,JPY,ZA
